iso_code,continent,location,population,world_population,people_vaccinated,total_vaccination,dose_nr_avg,total_boosers,total_cases,total_deaths,population_over_64,population_over_69,extreme_poverty_rate,life_exp,handwashing_fac_rate,cardiov_deaths_per100k,male_smokers_perc,female_smokers_perc,gdp_per_capita
BEL,Europe,Belgium,"11,655,923.00","8,045,247,353.00","9,261,641.00","31,468,557.00",3,"13,555,683.00","4,855,952.00","34,339.00",18.57,12.85,0.2,81.63, -   ,114.9,31.4,25.1,"51,850.40"
BES,North America,Bonaire Sint Eustatius and Saba,"27,052.00","8,045,247,353.00","19,109.00","35,845.00",2, -   ,"11,922.00",41, -   , -   , -   ,77.79, -   , -   , -   , -   , -   
BIH,Europe,Bosnia and Herzegovina,"3,233,530.00","8,045,247,353.00","943,394.00","1,924,950.00",2,"120,530.00","403,565.00","16,382.00",16.57,10.71,0.2,77.4,97.16,329.64,47.7,30.2,"7,230.20"
BLR,Europe,Belarus,"9,534,956.00","8,045,247,353.00","6,536,392.00","22,511,000.00",3,"5,720,777.00","994,037.00","7,118.00",14.8,9.79, -   ,74.79, -   ,443.13,46.1,10.5,"7,489.72"
AFG,Asia,Afghanistan,"41,128,772.00","8,045,247,353.00","18,896,999.00","22,606,931.00",1,"2,626,670.00","231,539.00","7,982.00",2.58,1.34, -   ,64.83,37.75,597.03, -   , -   ,355.78
CAF,Africa,Central African Republic,"5,579,148.00","8,045,247,353.00","2,600,389.00","3,342,248.00",1,"366,221.00","15,440.00",113,3.66,2.25, -   ,53.28,16.6,435.73, -   , -   ,461.14
AIA,North America,Anguilla,"15,877.00","8,045,247,353.00","10,854.00","24,604.00",2,"3,309.00","3,904.00",12, -   , -   , -   ,81.88, -   , -   , -   , -   , -   
BFA,Africa,Burkina Faso,"22,673,764.00","8,045,247,353.00","6,089,089.00","7,893,609.00",1,"4,056.00","22,109.00",400,2.41,1.36,43.7,61.58,11.88,269.05,23.9,1.6,888.78
ARE,Asia,United Arab Emirates,"9,441,138.00","8,045,247,353.00","9,991,089.00","24,922,054.00",2,"5,138,699.00","1,067,030.00","2,349.00",1.14,0.53, -   ,77.97, -   ,317.84,37.4,1.2,"44,332.34"
CMR,Africa,Cameroon,"27,914,542.00","8,045,247,353.00","3,753,733.00","4,880,572.00",1,"803,560.00","125,137.00","1,974.00",3.17,1.92,23.8,59.29,2.74,244.66, -   , -   ,"1,654.26"
